DISCORD ID,DRIVER,PENALTY,PENALTY,SEVERITY,RECORD,CATEGORY,NOTES
,Enigma,JL8R3,Reminder,1 (Minor),no offence,Late Breaking,https://youtu.be/3KNFAaJG3FM?t=286
,Enigma,JL8R1,Reminder,1 (Minor),no offence,Swerving ,https://youtu.be/5mGsbpAzLUE?t=187
,Ethan,CL11R4,CONNECTION,4 (Severe),CONNECTION,Noticeable Teleporting,https://www.youtube.com/watch?v=rg1VziG2N3A&t=916s
,ethan,JL11R1,Final Warning,1 (Minor),no offence,Chatting During Countdown,
,ethan,CL11F6,Reminder,1 (Minor),no offence,Leaving open lanes,https://youtu.be/FsIl5dm5DBQ?t=1591
,Fabricio,JL6R5,Reminder,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,https://youtu.be/fDyQAN3XVUQ?t=573
,Fabricio,JL8R3,Reminder,1 (Minor),no offence,Late Breaking,https://youtu.be/3KNFAaJG3FM?t=231
,Fabricio,JL8R4,Reminder,1 (Minor),no offence,Unsafe Track Re-Entry,https://youtu.be/-SJURdJQK7U?t=719
,Fabricio,JL7R3,Reminder ,1 (Minor),no offence,Chatting Duirng Countdown,
,FelixLotus,JL10R4,Warning,2 (Moderate),no offence,Chatting during race,
,figoeira,CL11R5,Final Warning,1 (Minor),no offence,Chatting During Race,
,figoeira,CL11R5,Final Warning,3 (Major),no offence,Unsportsmanlike Conduct - swearing at driver in-race,
,figoeira,CL11R4,Reminder,1 (Minor),no offence,Late-Brake,https://www.youtube.com/watch?v=QzdwzW4iu2Q&t=259s
,figoeira,CL11F5,Reminder,1 (Minor),no offence,Leaving open lanes ,https://youtu.be/z_lE25L6Nhc?t=1212
,figoeira,CL11S5,Reminder 2,1 (Minor),no offence,Leaving open lanes,https://youtu.be/XJ7YFaOFv-o?t=845
,Flyx,JL11R1,Reminder,1 (Minor),no offence,Leaving open lanes,https://youtu.be/iW_k6-u5HmI?t=504
,Flyx,JL11R2,Reminder,1 (Minor),no offence,Unsafe Pit Entry,https://youtu.be/hXxa-_v4myg?t=124
,Fox,JL8R4,Reminder,1 (Minor),no offence,Abrupt Lane Change,https://youtu.be/u6rVK0WfTO0?t=104
,Fox,JL7R1,Reminder,1 (Minor),no offence,Leaving Race on manual DNF,
,franc3,UL13R4,Warning,3 (Major),no offence,Entering Lobby Mid-Race,
,Frozeni,UL14R3,Reminder,1 (Minor),no offence,Leaving Open Lanes,https://www.youtube.com/watch?v=wqUHKY-TDTI&t=565s
,Frozeni,UL14R2,Warning,2 (Moderate),1st offence,Swerving Causing Contact,position gave back to Jeruniy after last lap incident
,Gamer-15,SL7R5,Reminder,2 (Moderate),1st offence,Engaging in Chat during race,Full-on conversation/argument in race in defense of verbal assult.
